INFO 2024-10-29 23:05:37,467 Watching for file changes with StatReloader
INFO 2024-10-29 23:13:25,268 "GET /staff/list/ HTTP/1.1" 200 9910
INFO 2024-10-29 23:13:25,539 "GET /student/list HTTP/1.1" 200 10225
INFO 2024-10-29 23:15:21,964 "GET /student/list HTTP/1.1" 200 10225
INFO 2024-10-29 23:15:22,008 "GET /static/plugins/fontawesome-free/css/all.min.css HTTP/1.1" 304 0
INFO 2024-10-29 23:15:22,011 "GET /static/plugins/overlayScrollbars/css/OverlayScrollbars.min.css HTTP/1.1" 304 0
INFO 2024-10-29 23:15:22,011 "GET /static/dist/css/adminlte.min.css HTTP/1.1" 304 0
INFO 2024-10-29 23:15:22,012 "GET /static/plugins/toastr/toastr.min.css HTTP/1.1" 304 0
INFO 2024-10-29 23:15:22,012 "GET /static/plugins/jquery/jquery.min.js HTTP/1.1" 304 0
INFO 2024-10-29 23:15:22,012 "GET /static/dist/js/jquery.formset.js HTTP/1.1" 304 0
INFO 2024-10-29 23:15:22,012 "GET /static/plugins/Datatables/datatables.min.css HTTP/1.1" 304 0
INFO 2024-10-29 23:15:22,014 "GET /static/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 304 0
INFO 2024-10-29 23:15:22,014 "GET /static/plugins/toastr/toastr.min.js HTTP/1.1" 304 0
INFO 2024-10-29 23:15:22,014 "GET /static/dist/js/demo.js HTTP/1.1" 304 0
INFO 2024-10-29 23:15:22,014 "GET /static/plugins/overlayScrollbars/js/jquery.overlayScrollbars.min.js HTTP/1.1" 304 0
INFO 2024-10-29 23:15:22,015 "GET /static/plugins/Datatables/datatables.min.js HTTP/1.1" 304 0
INFO 2024-10-29 23:15:22,015 "GET /static/dist/js/adminlte.js HTTP/1.1" 304 0
INFO 2024-10-29 23:15:42,964 "GET /student/1/ HTTP/1.1" 200 11611
INFO 2024-10-29 23:15:42,991 "GET /static/dist/img/avatar.png HTTP/1.1" 304 0
INFO 2024-10-29 23:15:46,583 "GET /student/upload/ HTTP/1.1" 200 10001
INFO 2024-10-30 00:15:26,850 Watching for file changes with StatReloader
INFO 2024-10-30 00:15:27,959 "GET / HTTP/1.1" 200 9290
INFO 2024-10-30 00:15:28,050 "GET /static/plugins/fontawesome-free/css/all.min.css HTTP/1.1" 304 0
INFO 2024-10-30 00:15:28,052 "GET /static/plugins/toastr/toastr.min.css HTTP/1.1" 304 0
INFO 2024-10-30 00:15:28,052 "GET /static/plugins/overlayScrollbars/css/OverlayScrollbars.min.css HTTP/1.1" 304 0
INFO 2024-10-30 00:15:28,054 "GET /static/plugins/jquery/jquery.min.js HTTP/1.1" 304 0
INFO 2024-10-30 00:15:28,054 "GET /static/plugins/Datatables/datatables.min.css HTTP/1.1" 304 0
INFO 2024-10-30 00:15:28,055 "GET /static/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 304 0
INFO 2024-10-30 00:15:28,055 "GET /static/plugins/toastr/toastr.min.js HTTP/1.1" 304 0
INFO 2024-10-30 00:15:28,056 "GET /static/plugins/overlayScrollbars/js/jquery.overlayScrollbars.min.js HTTP/1.1" 304 0
INFO 2024-10-30 00:15:28,056 "GET /static/dist/css/adminlte.min.css HTTP/1.1" 304 0
INFO 2024-10-30 00:15:28,056 "GET /static/dist/js/adminlte.js HTTP/1.1" 304 0
INFO 2024-10-30 00:15:28,057 "GET /static/dist/js/demo.js HTTP/1.1" 304 0
INFO 2024-10-30 00:15:28,057 "GET /static/plugins/Datatables/datatables.min.js HTTP/1.1" 304 0
INFO 2024-10-30 00:15:28,057 "GET /static/dist/js/jquery.formset.js HTTP/1.1" 304 0
INFO 2024-10-30 00:15:28,125 "GET /static/plugins/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 304 0
INFO 2024-10-30 00:15:28,125 "GET /static/plugins/fontawesome-free/webfonts/fa-regular-400.woff2 HTTP/1.1" 304 0
INFO 2024-10-30 00:33:52,640 Watching for file changes with StatReloader
INFO 2024-10-30 00:33:54,185 "GET / HTTP/1.1" 302 0
INFO 2024-10-30 00:33:54,209 "GET /accounts/login/?next=/ HTTP/1.1" 200 3981
INFO 2024-10-30 00:33:54,341 "GET /static/plugins/toastr/toastr.min.css HTTP/1.1" 200 6454
INFO 2024-10-30 00:33:54,343 "GET /static/plugins/fontawesome-free/css/all.min.css HTTP/1.1" 200 58582
INFO 2024-10-30 00:33:54,347 "GET /static/plugins/overlayScrollbars/css/OverlayScrollbars.min.css HTTP/1.1" 200 19736
INFO 2024-10-30 00:33:54,351 "GET /static/dist/css/adminlte.min.css HTTP/1.1" 200 686718
INFO 2024-10-30 00:33:54,354 "GET /static/dist/img/login.png HTTP/1.1" 200 144918
